EXP-LEAD, 2023-07-21T18:03:11.146, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:03:12.213, ubuntu22-c, mtd-zk-0, 0.667812
EXP-LEAD, 2023-07-21T18:03:13.636, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:03:21.377, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:03:22.520, ubuntu22-c, mtd-zk-0, 0.746210
EXP-LOAD, 2023-07-21T18:03:30.871, ubuntu22-c, mtd-zk-0, 0.746210
EXP-LOAD, 2023-07-21T18:03:39.057, ubuntu22-c, mtd-zk-0, 0.649816
EXP-LEAD, 2023-07-21T18:03:40.147, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:03:45.993, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:03:47.075, ubuntu22-c, mtd-zk-0, 0.649816
EXP-LOAD, 2023-07-21T18:03:54.353, ubuntu22-c, mtd-zk-0, 0.663408
EXP-LEAD, 2023-07-21T18:03:55.388, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:04:03.220, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:04:04.288, ubuntu22-c, mtd-zk-0, 0.706405
EXP-LOAD, 2023-07-21T18:04:11.604, ubuntu22-c, mtd-zk-0, 0.706405
EXP-LOAD, 2023-07-21T18:04:20.738, ubuntu22-c, mtd-zk-0, 0.649063
EXP-LEAD, 2023-07-21T18:04:22.773, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:04:27.396, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:04:28.496, ubuntu22-c, mtd-zk-0, 0.649063
EXP-LOAD, 2023-07-21T18:04:36.656, ubuntu22-c, mtd-zk-0, 0.730644
EXP-LOAD, 2023-07-21T18:04:47.878, ubuntu22-c, mtd-zk-0, 0.730644
EXP-LEAD, 2023-07-21T18:04:49.698, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:04:55.527, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:04:56.583, ubuntu22-c, mtd-zk-0, 0.602979
EXP-LOAD, 2023-07-21T18:05:06.954, ubuntu22-c, mtd-zk-0, 0.667131
EXP-LEAD, 2023-07-21T18:05:09.005, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:05:14.824, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:05:15.893, ubuntu22-c, mtd-zk-0, 0.667131
EXP-LEAD, 2023-07-21T18:05:18.140, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:05:24.802, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:05:25.879, ubuntu22-c, mtd-zk-0, 0.602023
EXP-LOAD, 2023-07-21T18:05:34.369, ubuntu22-c, mtd-zk-0, 0.645816
EXP-LOAD, 2023-07-21T18:05:44.610, ubuntu22-c, mtd-zk-0, 0.645816
EXP-LOAD, 2023-07-21T18:05:51.729, ubuntu22-c, mtd-zk-0, 0.618241
EXP-LEAD, 2023-07-21T18:05:53.754, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:06:01.544, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:06:02.617, ubuntu22-c, mtd-zk-0, 0.618241
EXP-LEAD, 2023-07-21T18:06:03.863, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:06:08.484, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:06:09.544, ubuntu22-c, mtd-zk-0, 0.697450
EXP-LOAD, 2023-07-21T18:06:16.039, ubuntu22-c, mtd-zk-0, 0.697450
EXP-LEAD, 2023-07-21T18:06:17.134, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:06:22.937, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:06:24.022, ubuntu22-c, mtd-zk-0, 0.744604
EXP-LOAD, 2023-07-21T18:06:31.270, ubuntu22-c, mtd-zk-0, 0.744604
EXP-LOAD, 2023-07-21T18:06:43.339, ubuntu22-c, mtd-zk-0, 0.673311
EXP-LOAD, 2023-07-21T18:06:50.471, ubuntu22-c, mtd-zk-0, 0.658861
EXP-LEAD, 2023-07-21T18:06:52.062, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:06:57.645, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:06:58.718, ubuntu22-c, mtd-zk-0, 0.658861
EXP-LEAD, 2023-07-21T18:07:00.202, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:07:08.959, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:07:10.024, ubuntu22-c, mtd-zk-0, 0.741005
EXP-LOAD, 2023-07-21T18:07:16.161, ubuntu22-c, mtd-zk-0, 0.741005
EXP-LOAD, 2023-07-21T18:07:25.379, ubuntu22-c, mtd-zk-0, 0.532551
EXP-LEAD, 2023-07-21T18:07:27.447, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:07:32.107, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:07:33.163, ubuntu22-c, mtd-zk-0, 0.532551
EXP-LEAD, 2023-07-21T18:07:34.604, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:07:42.313, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:07:43.498, ubuntu22-c, mtd-zk-0, 0.729515
EXP-LEAD, 2023-07-21T18:07:44.734, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:07:50.350, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:07:51.414, ubuntu22-c, mtd-zk-0, 0.643003
EXP-LOAD, 2023-07-21T18:07:58.909, ubuntu22-c, mtd-zk-0, 0.643003
EXP-LOAD, 2023-07-21T18:08:09.051, ubuntu22-c, mtd-zk-0, 0.695612
EXP-LOAD, 2023-07-21T18:08:17.169, ubuntu22-c, mtd-zk-0, 0.695612
EXP-LOAD, 2023-07-21T18:08:25.334, ubuntu22-c, mtd-zk-0, 0.637863
EXP-LOAD, 2023-07-21T18:08:33.481, ubuntu22-c, mtd-zk-0, 0.637863
EXP-LEAD, 2023-07-21T18:08:35.521, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:08:46.279, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:08:47.388, ubuntu22-c, mtd-zk-0, 0.681514
EXP-LEAD, 2023-07-21T18:08:48.686, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T18:08:54.488, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T18:08:55.553, ubuntu22-c, mtd-zk-0, 0.643024
EXP-LOAD, 2023-07-21T18:09:05.947, ubuntu22-c, mtd-zk-0, 0.673008
EXP-LOAD, 2023-07-21T18:09:13.077, ubuntu22-c, mtd-zk-0, 0.673008
EXP-LEAD, 2023-07-21T18:09:15.127, ubuntu22-c, mtd-zk-0, START
