EXP-LOAD, 2023-07-19T01:36:15.830, ubuntu22-b, mtd-zk-0, 0.668418
EXP-LEAD, 2023-07-19T01:36:17.279, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:36:24.966, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:36:26.012, ubuntu22-b, mtd-zk-0, 0.709132
EXP-LOAD, 2023-07-19T01:36:33.493, ubuntu22-b, mtd-zk-0, 0.709132
EXP-LOAD, 2023-07-19T01:36:40.618, ubuntu22-b, mtd-zk-0, 0.805223
EXP-LEAD, 2023-07-19T01:36:42.653, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:36:51.321, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:36:52.370, ubuntu22-b, mtd-zk-0, 0.699004
EXP-LOAD, 2023-07-19T01:36:58.493, ubuntu22-b, mtd-zk-0, 0.699004
EXP-LOAD, 2023-07-19T01:37:08.648, ubuntu22-b, mtd-zk-0, 0.580743
EXP-LOAD, 2023-07-19T01:37:14.873, ubuntu22-b, mtd-zk-0, 0.580743
EXP-LEAD, 2023-07-19T01:37:16.941, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:37:21.561, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:37:22.635, ubuntu22-b, mtd-zk-0, 0.731324
EXP-LOAD, 2023-07-19T01:37:30.217, ubuntu22-b, mtd-zk-0, 0.731324
EXP-LEAD, 2023-07-19T01:37:31.907, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:37:41.738, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:37:42.811, ubuntu22-b, mtd-zk-0, 0.686224
EXP-LOAD, 2023-07-19T01:37:48.105, ubuntu22-b, mtd-zk-0, 0.686224
EXP-LOAD, 2023-07-19T01:37:56.307, ubuntu22-b, mtd-zk-0, 0.696726
EXP-LOAD, 2023-07-19T01:38:04.471, ubuntu22-b, mtd-zk-0, 0.704212
EXP-LEAD, 2023-07-19T01:38:06.531, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:38:15.269, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:38:16.358, ubuntu22-b, mtd-zk-0, 0.704212
EXP-LOAD, 2023-07-19T01:38:24.750, ubuntu22-b, mtd-zk-0, 0.709810
EXP-LOAD, 2023-07-19T01:38:35.892, ubuntu22-b, mtd-zk-0, 0.680805
EXP-LOAD, 2023-07-19T01:38:43.998, ubuntu22-b, mtd-zk-0, 0.680805
EXP-LOAD, 2023-07-19T01:38:57.079, ubuntu22-b, mtd-zk-0, 0.723911
EXP-LOAD, 2023-07-19T01:39:03.188, ubuntu22-b, mtd-zk-0, 0.723911
EXP-LOAD, 2023-07-19T01:39:11.288, ubuntu22-b, mtd-zk-0, 0.582185
EXP-LEAD, 2023-07-19T01:39:12.339, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:39:20.119, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:39:21.164, ubuntu22-b, mtd-zk-0, 0.698605
EXP-LOAD, 2023-07-19T01:39:29.317, ubuntu22-b, mtd-zk-0, 0.698605
EXP-LEAD, 2023-07-19T01:39:31.367, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:39:40.378, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:39:41.454, ubuntu22-b, mtd-zk-0, 0.665813
EXP-LOAD, 2023-07-19T01:39:47.613, ubuntu22-b, mtd-zk-0, 0.665813
EXP-LEAD, 2023-07-19T01:39:49.634, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:39:54.186, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:39:55.291, ubuntu22-b, mtd-zk-0, 0.804806
EXP-LEAD, 2023-07-19T01:39:55.330, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T01:40:04.086, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T01:40:05.149, ubuntu22-b, mtd-zk-0, 0.693908
EXP-LOAD, 2023-07-19T01:40:11.597, ubuntu22-b, mtd-zk-0, 0.693908
EXP-LOAD, 2023-07-19T01:40:18.617, ubuntu22-b, mtd-zk-0, 0.693908
