EXP-LOAD, 2023-07-19T17:55:26.358, ubuntu22-c, mtd-zk-0, 0.665060
EXP-LOAD, 2023-07-19T17:55:34.481, ubuntu22-c, mtd-zk-0, 0.705024
EXP-LEAD, 2023-07-19T17:55:34.966, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:55:40.840, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:55:41.930, ubuntu22-c, mtd-zk-0, 0.705024
EXP-LEAD, 2023-07-19T17:55:43.084, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:55:49.844, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:55:50.944, ubuntu22-c, mtd-zk-0, 0.735033
EXP-LOAD, 2023-07-19T17:56:01.359, ubuntu22-c, mtd-zk-0, 0.735033
EXP-LOAD, 2023-07-19T17:56:09.917, ubuntu22-c, mtd-zk-0, 0.718311
EXP-LOAD, 2023-07-19T17:56:19.083, ubuntu22-c, mtd-zk-0, 0.718311
EXP-LEAD, 2023-07-19T17:56:21.166, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:56:27.021, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:56:28.094, ubuntu22-c, mtd-zk-0, 0.648455
EXP-LOAD, 2023-07-19T17:56:35.464, ubuntu22-c, mtd-zk-0, 0.663214
EXP-LOAD, 2023-07-19T17:56:44.575, ubuntu22-c, mtd-zk-0, 0.663214
EXP-LOAD, 2023-07-19T17:56:52.665, ubuntu22-c, mtd-zk-0, 0.712461
EXP-LOAD, 2023-07-19T17:56:59.750, ubuntu22-c, mtd-zk-0, 0.712461
EXP-LOAD, 2023-07-19T17:57:10.976, ubuntu22-c, mtd-zk-0, 0.622734
EXP-LOAD, 2023-07-19T17:57:18.067, ubuntu22-c, mtd-zk-0, 0.622734
EXP-LOAD, 2023-07-19T17:57:26.119, ubuntu22-c, mtd-zk-0, 0.698913
EXP-LEAD, 2023-07-19T17:57:27.642, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:57:35.377, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:57:36.525, ubuntu22-c, mtd-zk-0, 0.692426
EXP-LEAD, 2023-07-19T17:57:36.756, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:57:42.628, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:57:43.714, ubuntu22-c, mtd-zk-0, 0.692426
EXP-LOAD, 2023-07-19T17:57:51.962, ubuntu22-c, mtd-zk-0, 0.692414
EXP-LOAD, 2023-07-19T17:58:02.099, ubuntu22-c, mtd-zk-0, 0.692414
EXP-LEAD, 2023-07-19T17:58:04.129, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:58:08.687, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:58:09.733, ubuntu22-c, mtd-zk-0, 0.651008
EXP-LEAD, 2023-07-19T17:58:11.258, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:58:19.978, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:58:21.054, ubuntu22-c, mtd-zk-0, 0.649710
EXP-LOAD, 2023-07-19T17:58:28.471, ubuntu22-c, mtd-zk-0, 0.649710
EXP-LOAD, 2023-07-19T17:58:35.155, ubuntu22-c, mtd-zk-0, 0.621004
EXP-LOAD, 2023-07-19T17:58:47.260, ubuntu22-c, mtd-zk-0, 0.621004
EXP-LOAD, 2023-07-19T17:58:54.385, ubuntu22-c, mtd-zk-0, 0.651306
EXP-LOAD, 2023-07-19T17:59:05.611, ubuntu22-c, mtd-zk-0, 0.709837
EXP-LOAD, 2023-07-19T17:59:12.842, ubuntu22-c, mtd-zk-0, 0.709837
EXP-LEAD, 2023-07-19T17:59:15.832, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:59:23.547, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:59:24.605, ubuntu22-c, mtd-zk-0, 0.660704
EXP-LOAD, 2023-07-19T17:59:32.090, ubuntu22-c, mtd-zk-0, 0.660704
EXP-LEAD, 2023-07-19T17:59:33.574, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:59:39.220, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:59:40.299, ubuntu22-c, mtd-zk-0, 0.648805
EXP-LEAD, 2023-07-19T17:59:41.699, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T17:59:47.249, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T17:59:48.343, ubuntu22-c, mtd-zk-0, 0.648805
EXP-LOAD, 2023-07-19T17:59:59.094, ubuntu22-c, mtd-zk-0, 0.644982
EXP-LEAD, 2023-07-19T18:00:01.159, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:00:06.774, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:00:07.865, ubuntu22-c, mtd-zk-0, 0.665033
EXP-LEAD, 2023-07-19T18:00:09.233, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:00:14.962, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:00:16.069, ubuntu22-c, mtd-zk-0, 0.665033
EXP-LOAD, 2023-07-19T18:00:26.476, ubuntu22-c, mtd-zk-0, 0.692526
EXP-LOAD, 2023-07-19T18:00:34.588, ubuntu22-c, mtd-zk-0, 0.641628
EXP-LOAD, 2023-07-19T18:00:45.778, ubuntu22-c, mtd-zk-0, 0.641628
EXP-LOAD, 2023-07-19T18:00:54.916, ubuntu22-c, mtd-zk-0, 0.612016
EXP-LOAD, 2023-07-19T18:01:06.112, ubuntu22-c, mtd-zk-0, 0.711840
EXP-LEAD, 2023-07-19T18:01:08.156, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:01:12.658, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:01:13.739, ubuntu22-c, mtd-zk-0, 0.711840
EXP-LOAD, 2023-07-19T18:01:22.427, ubuntu22-c, mtd-zk-0, 0.648238
EXP-LOAD, 2023-07-19T18:01:30.530, ubuntu22-c, mtd-zk-0, 0.648238
EXP-LEAD, 2023-07-19T18:01:32.562, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:01:38.156, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:01:39.239, ubuntu22-c, mtd-zk-0, 0.700002
EXP-LEAD, 2023-07-19T18:01:41.677, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:01:47.157, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:01:48.245, ubuntu22-c, mtd-zk-0, 0.700002
EXP-LEAD, 2023-07-19T18:01:49.801, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:01:57.436, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:01:58.587, ubuntu22-c, mtd-zk-0, 0.675033
EXP-LOAD, 2023-07-19T18:02:07.083, ubuntu22-c, mtd-zk-0, 0.611335
EXP-LOAD, 2023-07-19T18:02:16.256, ubuntu22-c, mtd-zk-0, 0.611335
EXP-LOAD, 2023-07-19T18:02:22.383, ubuntu22-c, mtd-zk-0, 0.661107
EXP-LEAD, 2023-07-19T18:02:23.949, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:02:31.540, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:02:32.617, ubuntu22-c, mtd-zk-0, 0.661107
EXP-LEAD, 2023-07-19T18:02:34.106, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:02:39.598, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:02:40.650, ubuntu22-c, mtd-zk-0, 0.652403
EXP-LOAD, 2023-07-19T18:02:46.321, ubuntu22-c, mtd-zk-0, 0.652403
EXP-LEAD, 2023-07-19T18:02:48.348, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:02:56.983, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:02:58.049, ubuntu22-c, mtd-zk-0, 0.650636
EXP-LOAD, 2023-07-19T18:03:05.547, ubuntu22-c, mtd-zk-0, 0.664641
EXP-LOAD, 2023-07-19T18:03:14.747, ubuntu22-c, mtd-zk-0, 0.664641
EXP-LEAD, 2023-07-19T18:03:16.790, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:03:24.407, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:03:25.532, ubuntu22-c, mtd-zk-0, 0.693622
EXP-LOAD, 2023-07-19T18:03:33.972, ubuntu22-c, mtd-zk-0, 0.693622
EXP-LOAD, 2023-07-19T18:03:43.127, ubuntu22-c, mtd-zk-0, 0.628805
EXP-LEAD, 2023-07-19T18:03:45.045, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:03:50.803, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:03:51.857, ubuntu22-c, mtd-zk-0, 0.608633
EXP-LOAD, 2023-07-19T18:04:00.284, ubuntu22-c, mtd-zk-0, 0.608633
EXP-LOAD, 2023-07-19T18:04:06.808, ubuntu22-c, mtd-zk-0, 0.642614
EXP-LOAD, 2023-07-19T18:04:14.928, ubuntu22-c, mtd-zk-0, 0.642614
EXP-LOAD, 2023-07-19T18:04:25.673, ubuntu22-c, mtd-zk-0, 0.726016
EXP-LOAD, 2023-07-19T18:04:32.782, ubuntu22-c, mtd-zk-0, 0.726016
EXP-LOAD, 2023-07-19T18:04:42.922, ubuntu22-c, mtd-zk-0, 0.583853
EXP-LEAD, 2023-07-19T18:04:44.731, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:04:50.294, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:04:51.358, ubuntu22-c, mtd-zk-0, 0.669522
EXP-LEAD, 2023-07-19T18:04:52.870, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:04:57.493, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:04:58.585, ubuntu22-c, mtd-zk-0, 0.669522
EXP-LOAD, 2023-07-19T18:05:06.107, ubuntu22-c, mtd-zk-0, 0.665814
EXP-LOAD, 2023-07-19T18:05:17.776, ubuntu22-c, mtd-zk-0, 0.665814
EXP-LEAD, 2023-07-19T18:05:19.820, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:05:25.361, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:05:26.435, ubuntu22-c, mtd-zk-0, 0.684512
EXP-LOAD, 2023-07-19T18:05:34.010, ubuntu22-c, mtd-zk-0, 0.684512
EXP-LOAD, 2023-07-19T18:05:41.132, ubuntu22-c, mtd-zk-0, 0.690811
EXP-LEAD, 2023-07-19T18:05:43.166, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:05:48.837, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:05:49.904, ubuntu22-c, mtd-zk-0, 0.737621
EXP-LOAD, 2023-07-19T18:05:56.394, ubuntu22-c, mtd-zk-0, 0.737621
EXP-LEAD, 2023-07-19T18:05:58.418, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:06:03.953, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:06:05.037, ubuntu22-c, mtd-zk-0, 0.680633
EXP-LOAD, 2023-07-19T18:06:12.649, ubuntu22-c, mtd-zk-0, 0.680633
EXP-LEAD, 2023-07-19T18:06:14.710, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:06:28.601, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:06:29.677, ubuntu22-c, mtd-zk-0, 0.735717
EXP-LOAD, 2023-07-19T18:06:39.911, ubuntu22-c, mtd-zk-0, 0.816288
EXP-LEAD, 2023-07-19T18:06:42.946, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:06:48.539, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:06:49.598, ubuntu22-c, mtd-zk-0, 0.657805
EXP-LOAD, 2023-07-19T18:06:57.121, ubuntu22-c, mtd-zk-0, 0.657805
EXP-LEAD, 2023-07-19T18:06:58.642, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:07:07.301, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:07:08.378, ubuntu22-c, mtd-zk-0, 0.663705
EXP-LOAD, 2023-07-19T18:07:16.781, ubuntu22-c, mtd-zk-0, 0.663705
EXP-LOAD, 2023-07-19T18:07:23.906, ubuntu22-c, mtd-zk-0, 0.650420
EXP-LEAD, 2023-07-19T18:07:25.943, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:07:31.527, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:07:32.567, ubuntu22-c, mtd-zk-0, 0.650420
EXP-LOAD, 2023-07-19T18:07:43.128, ubuntu22-c, mtd-zk-0, 0.675754
EXP-LOAD, 2023-07-19T18:07:52.310, ubuntu22-c, mtd-zk-0, 0.606604
EXP-LEAD, 2023-07-19T18:07:53.826, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:07:58.378, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:07:59.493, ubuntu22-c, mtd-zk-0, 0.606604
EXP-LEAD, 2023-07-19T18:08:00.926, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:08:09.597, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:08:10.703, ubuntu22-c, mtd-zk-0, 0.696318
EXP-LOAD, 2023-07-19T18:08:18.216, ubuntu22-c, mtd-zk-0, 0.696318
EXP-LOAD, 2023-07-19T18:08:26.311, ubuntu22-c, mtd-zk-0, 0.613016
EXP-LEAD, 2023-07-19T18:08:28.351, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:08:35.921, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:08:37.072, ubuntu22-c, mtd-zk-0, 0.701816
EXP-LOAD, 2023-07-19T18:08:44.491, ubuntu22-c, mtd-zk-0, 0.701816
EXP-LOAD, 2023-07-19T18:08:55.709, ubuntu22-c, mtd-zk-0, 0.709826
EXP-LEAD, 2023-07-19T18:08:57.748, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:09:07.561, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:09:08.625, ubuntu22-c, mtd-zk-0, 0.636827
EXP-LOAD, 2023-07-19T18:09:16.949, ubuntu22-c, mtd-zk-0, 0.636827
EXP-LEAD, 2023-07-19T18:09:18.962, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:09:27.701, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:09:28.803, ubuntu22-c, mtd-zk-0, 0.651813
EXP-LOAD, 2023-07-19T18:09:35.162, ubuntu22-c, mtd-zk-0, 0.657539
EXP-LEAD, 2023-07-19T18:09:37.824, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:09:45.454, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:09:46.536, ubuntu22-c, mtd-zk-0, 0.657539
EXP-LOAD, 2023-07-19T18:09:57.043, ubuntu22-c, mtd-zk-0, 0.615020
EXP-LEAD, 2023-07-19T18:09:57.221, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:10:08.074, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:10:09.150, ubuntu22-c, mtd-zk-0, 0.605218
EXP-LEAD, 2023-07-19T18:10:09.326, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:10:16.054, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:10:17.125, ubuntu22-c, mtd-zk-0, 0.605218
