EXP-LOAD, 2023-07-19T18:58:02.318, ubuntu22-b, mtd-zk-0, 0.743403
EXP-LEAD, 2023-07-19T18:58:03.673, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:58:09.282, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:58:10.357, ubuntu22-b, mtd-zk-0, 0.708107
EXP-LOAD, 2023-07-19T18:58:20.502, ubuntu22-b, mtd-zk-0, 0.664215
EXP-LOAD, 2023-07-19T18:58:28.659, ubuntu22-b, mtd-zk-0, 0.664215
EXP-LEAD, 2023-07-19T18:58:31.718, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:58:39.429, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:58:40.490, ubuntu22-b, mtd-zk-0, 0.708214
EXP-LOAD, 2023-07-19T18:58:48.027, ubuntu22-b, mtd-zk-0, 0.708214
EXP-LEAD, 2023-07-19T18:58:49.008, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:58:56.727, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:58:57.795, ubuntu22-b, mtd-zk-0, 0.737823
EXP-LEAD, 2023-07-19T18:58:58.164, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:59:02.808, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:59:03.869, ubuntu22-b, mtd-zk-0, 0.737823
EXP-LOAD, 2023-07-19T18:59:13.338, ubuntu22-b, mtd-zk-0, 0.760006
EXP-LOAD, 2023-07-19T18:59:24.466, ubuntu22-b, mtd-zk-0, 0.659824
EXP-LEAD, 2023-07-19T18:59:25.511, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T18:59:30.061, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T18:59:31.122, ubuntu22-b, mtd-zk-0, 0.659824
EXP-LOAD, 2023-07-19T18:59:37.700, ubuntu22-b, mtd-zk-0, 0.622968
EXP-LOAD, 2023-07-19T18:59:50.351, ubuntu22-b, mtd-zk-0, 0.685009
EXP-LOAD, 2023-07-19T18:59:58.488, ubuntu22-b, mtd-zk-0, 0.685009
EXP-LOAD, 2023-07-19T19:00:06.608, ubuntu22-b, mtd-zk-0, 0.695807
EXP-LEAD, 2023-07-19T19:00:07.689, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:00:13.351, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:00:14.407, ubuntu22-b, mtd-zk-0, 0.695807
EXP-LOAD, 2023-07-19T19:00:20.882, ubuntu22-b, mtd-zk-0, 0.637810
EXP-LOAD, 2023-07-19T19:00:27.671, ubuntu22-b, mtd-zk-0, 0.637810
EXP-LEAD, 2023-07-19T19:00:29.583, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:00:35.143, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:00:36.218, ubuntu22-b, mtd-zk-0, 0.659220
EXP-LOAD, 2023-07-19T19:00:43.787, ubuntu22-b, mtd-zk-0, 0.659220
EXP-LOAD, 2023-07-19T19:00:49.833, ubuntu22-b, mtd-zk-0, 0.624028
EXP-LOAD, 2023-07-19T19:00:57.931, ubuntu22-b, mtd-zk-0, 0.624028
EXP-LOAD, 2023-07-19T19:01:09.792, ubuntu22-b, mtd-zk-0, 0.680215
EXP-LOAD, 2023-07-19T19:01:17.898, ubuntu22-b, mtd-zk-0, 0.680215
EXP-LOAD, 2023-07-19T19:01:24.133, ubuntu22-b, mtd-zk-0, 0.675438
EXP-LOAD, 2023-07-19T19:01:33.308, ubuntu22-b, mtd-zk-0, 0.675438
EXP-LOAD, 2023-07-19T19:01:41.443, ubuntu22-b, mtd-zk-0, 0.650809
EXP-LEAD, 2023-07-19T19:01:42.502, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:01:47.085, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:01:48.137, ubuntu22-b, mtd-zk-0, 0.650809
EXP-LEAD, 2023-07-19T19:01:49.620, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:01:57.314, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:01:58.414, ubuntu22-b, mtd-zk-0, 0.564384
EXP-LOAD, 2023-07-19T19:02:04.945, ubuntu22-b, mtd-zk-0, 0.695016
EXP-LOAD, 2023-07-19T19:02:12.483, ubuntu22-b, mtd-zk-0, 0.695016
EXP-LOAD, 2023-07-19T19:02:19.512, ubuntu22-b, mtd-zk-0, 0.658403
EXP-LOAD, 2023-07-19T19:02:29.181, ubuntu22-b, mtd-zk-0, 0.658403
EXP-LEAD, 2023-07-19T19:02:29.270, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:02:38.988, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:02:40.071, ubuntu22-b, mtd-zk-0, 0.652924
EXP-LEAD, 2023-07-19T19:02:40.480, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:02:46.132, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:02:47.193, ubuntu22-b, mtd-zk-0, 0.652924
EXP-LOAD, 2023-07-19T19:02:54.653, ubuntu22-b, mtd-zk-0, 0.682658
EXP-LOAD, 2023-07-19T19:03:05.824, ubuntu22-b, mtd-zk-0, 0.697839
EXP-LOAD, 2023-07-19T19:03:14.986, ubuntu22-b, mtd-zk-0, 0.697839
EXP-LOAD, 2023-07-19T19:03:25.152, ubuntu22-b, mtd-zk-0, 0.659405
EXP-LEAD, 2023-07-19T19:03:26.202, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:03:31.833, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:03:32.892, ubuntu22-b, mtd-zk-0, 0.659405
EXP-LOAD, 2023-07-19T19:03:41.409, ubuntu22-b, mtd-zk-0, 0.659006
EXP-LEAD, 2023-07-19T19:03:43.467, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:03:48.980, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:03:50.044, ubuntu22-b, mtd-zk-0, 0.686928
EXP-LEAD, 2023-07-19T19:03:51.638, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:04:00.526, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:04:01.580, ubuntu22-b, mtd-zk-0, 0.686928
EXP-LEAD, 2023-07-19T19:04:02.778, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-19T19:04:07.347, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-19T19:04:08.428, ubuntu22-b, mtd-zk-0, 0.713123
EXP-LOAD, 2023-07-19T19:04:17.989, ubuntu22-b, mtd-zk-0, 0.713123
EXP-LOAD, 2023-07-19T19:04:27.111, ubuntu22-b, mtd-zk-0, 0.677407
EXP-LOAD, 2023-07-19T19:04:34.282, ubuntu22-b, mtd-zk-0, 0.648630
