EXP-LOAD, 2023-07-21T15:57:33.099, ubuntu22-b, mtd-zk-0, 0.669789
EXP-LOAD, 2023-07-21T15:57:43.297, ubuntu22-b, mtd-zk-0, 0.674405
EXP-LOAD, 2023-07-21T15:57:51.505, ubuntu22-b, mtd-zk-0, 0.772215
EXP-LOAD, 2023-07-21T15:58:02.550, ubuntu22-b, mtd-zk-0, 0.772215
EXP-LOAD, 2023-07-21T15:58:10.689, ubuntu22-b, mtd-zk-0, 0.712321
EXP-LOAD, 2023-07-21T15:58:19.865, ubuntu22-b, mtd-zk-0, 0.694420
EXP-LOAD, 2023-07-21T15:58:29.005, ubuntu22-b, mtd-zk-0, 0.694420
EXP-LOAD, 2023-07-21T15:58:37.218, ubuntu22-b, mtd-zk-0, 0.668822
EXP-LOAD, 2023-07-21T15:58:46.370, ubuntu22-b, mtd-zk-0, 0.668822
EXP-LOAD, 2023-07-21T15:58:54.604, ubuntu22-b, mtd-zk-0, 0.676409
EXP-LOAD, 2023-07-21T15:59:04.705, ubuntu22-b, mtd-zk-0, 0.658920
EXP-LEAD, 2023-07-21T15:59:05.746, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:59:11.437, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:59:12.515, ubuntu22-b, mtd-zk-0, 0.658920
EXP-LEAD, 2023-07-21T15:59:14.926, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T15:59:23.735, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T15:59:24.797, ubuntu22-b, mtd-zk-0, 0.693221
EXP-LOAD, 2023-07-21T15:59:34.129, ubuntu22-b, mtd-zk-0, 0.707618
EXP-LOAD, 2023-07-21T15:59:44.280, ubuntu22-b, mtd-zk-0, 0.707618
EXP-LOAD, 2023-07-21T15:59:51.430, ubuntu22-b, mtd-zk-0, 0.626973
EXP-LEAD, 2023-07-21T15:59:54.429, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:00:00.048, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:00:01.104, ubuntu22-b, mtd-zk-0, 0.626973
EXP-LEAD, 2023-07-21T16:00:01.634, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:00:09.492, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:00:10.540, ubuntu22-b, mtd-zk-0, 0.695007
EXP-LOAD, 2023-07-21T16:00:18.917, ubuntu22-b, mtd-zk-0, 0.695007
EXP-LOAD, 2023-07-21T16:00:29.067, ubuntu22-b, mtd-zk-0, 0.692293
EXP-LOAD, 2023-07-21T16:00:36.184, ubuntu22-b, mtd-zk-0, 0.684825
EXP-LOAD, 2023-07-21T16:00:46.296, ubuntu22-b, mtd-zk-0, 0.684825
EXP-LOAD, 2023-07-21T16:00:54.531, ubuntu22-b, mtd-zk-0, 0.652225
EXP-LOAD, 2023-07-21T16:01:05.392, ubuntu22-b, mtd-zk-0, 0.752209
EXP-LOAD, 2023-07-21T16:01:13.547, ubuntu22-b, mtd-zk-0, 0.752209
EXP-LOAD, 2023-07-21T16:01:23.298, ubuntu22-b, mtd-zk-0, 0.688122
EXP-LOAD, 2023-07-21T16:01:32.411, ubuntu22-b, mtd-zk-0, 0.688122
EXP-LOAD, 2023-07-21T16:01:39.638, ubuntu22-b, mtd-zk-0, 0.721407
EXP-LOAD, 2023-07-21T16:01:47.674, ubuntu22-b, mtd-zk-0, 0.721407
EXP-LOAD, 2023-07-21T16:01:54.867, ubuntu22-b, mtd-zk-0, 0.640807
EXP-LEAD, 2023-07-21T16:01:57.823, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T16:02:06.632, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T16:02:07.722, ubuntu22-b, mtd-zk-0, 0.674215
EXP-LOAD, 2023-07-21T16:02:16.150, ubuntu22-b, mtd-zk-0, 0.674215
EXP-LOAD, 2023-07-21T16:02:27.279, ubuntu22-b, mtd-zk-0, 0.670111
EXP-LOAD, 2023-07-21T16:02:35.403, ubuntu22-b, mtd-zk-0, 0.732423
EXP-LOAD, 2023-07-21T16:02:44.599, ubuntu22-b, mtd-zk-0, 0.732423
EXP-LOAD, 2023-07-21T16:02:51.706, ubuntu22-b, mtd-zk-0, 0.679329
