EXP-LOAD, 2023-07-21T20:08:25.241, ubuntu22-b, mtd-zk-0, 0.666541
EXP-LEAD, 2023-07-21T20:08:26.985, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:08:32.801, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:08:33.874, ubuntu22-b, mtd-zk-0, 0.666541
EXP-LOAD, 2023-07-21T20:08:44.217, ubuntu22-b, mtd-zk-0, 0.752030
EXP-LOAD, 2023-07-21T20:08:53.235, ubuntu22-b, mtd-zk-0, 0.741134
EXP-LOAD, 2023-07-21T20:09:03.389, ubuntu22-b, mtd-zk-0, 0.741134
EXP-LOAD, 2023-07-21T20:09:12.535, ubuntu22-b, mtd-zk-0, 0.637808
EXP-LOAD, 2023-07-21T20:09:22.716, ubuntu22-b, mtd-zk-0, 0.639831
EXP-LEAD, 2023-07-21T20:09:23.792, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:09:28.456, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:09:29.514, ubuntu22-b, mtd-zk-0, 0.639831
EXP-LOAD, 2023-07-21T20:09:38.027, ubuntu22-b, mtd-zk-0, 0.686214
EXP-LOAD, 2023-07-21T20:09:50.143, ubuntu22-b, mtd-zk-0, 0.714231
EXP-LOAD, 2023-07-21T20:09:58.326, ubuntu22-b, mtd-zk-0, 0.714231
EXP-LOAD, 2023-07-21T20:10:07.578, ubuntu22-b, mtd-zk-0, 0.660813
EXP-LOAD, 2023-07-21T20:10:15.793, ubuntu22-b, mtd-zk-0, 0.660813
EXP-LOAD, 2023-07-21T20:10:21.921, ubuntu22-b, mtd-zk-0, 0.629343
EXP-LOAD, 2023-07-21T20:10:32.097, ubuntu22-b, mtd-zk-0, 0.629343
EXP-LOAD, 2023-07-21T20:10:40.246, ubuntu22-b, mtd-zk-0, 0.700233
EXP-LOAD, 2023-07-21T20:10:48.367, ubuntu22-b, mtd-zk-0, 0.700233
EXP-LOAD, 2023-07-21T20:10:58.523, ubuntu22-b, mtd-zk-0, 0.700323
EXP-LOAD, 2023-07-21T20:11:06.328, ubuntu22-b, mtd-zk-0, 0.676424
EXP-LEAD, 2023-07-21T20:11:07.414, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:11:15.435, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:11:16.560, ubuntu22-b, mtd-zk-0, 0.676424
EXP-LOAD, 2023-07-21T20:11:24.622, ubuntu22-b, mtd-zk-0, 0.684814
EXP-LOAD, 2023-07-21T20:11:31.786, ubuntu22-b, mtd-zk-0, 0.684814
EXP-LEAD, 2023-07-21T20:11:33.808, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:11:42.538, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:11:43.601, ubuntu22-b, mtd-zk-0, 0.660231
EXP-LOAD, 2023-07-21T20:11:51.088, ubuntu22-b, mtd-zk-0, 0.661625
EXP-LEAD, 2023-07-21T20:11:52.807, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:11:58.420, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:11:59.466, ubuntu22-b, mtd-zk-0, 0.661625
EXP-LEAD, 2023-07-21T20:12:01.034, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:12:05.539, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:12:06.672, ubuntu22-b, mtd-zk-0, 0.762022
EXP-LOAD, 2023-07-21T20:12:15.827, ubuntu22-b, mtd-zk-0, 0.762022
EXP-LEAD, 2023-07-21T20:12:17.509, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:12:23.425, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:12:24.485, ubuntu22-b, mtd-zk-0, 0.695709
EXP-LOAD, 2023-07-21T20:12:32.695, ubuntu22-b, mtd-zk-0, 0.695709
EXP-LEAD, 2023-07-21T20:12:34.737, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:12:41.283, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:12:42.346, ubuntu22-b, mtd-zk-0, 0.668041
EXP-LOAD, 2023-07-21T20:12:49.464, ubuntu22-b, mtd-zk-0, 0.629231
EXP-LOAD, 2023-07-21T20:13:00.663, ubuntu22-b, mtd-zk-0, 0.629231
EXP-LEAD, 2023-07-21T20:13:02.675, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:13:08.786, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:13:09.841, ubuntu22-b, mtd-zk-0, 0.725619
EXP-LOAD, 2023-07-21T20:13:20.943, ubuntu22-b, mtd-zk-0, 0.692641
EXP-LOAD, 2023-07-21T20:13:30.061, ubuntu22-b, mtd-zk-0, 0.692641
EXP-LEAD, 2023-07-21T20:13:31.113, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:13:36.776, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:13:37.865, ubuntu22-b, mtd-zk-0, 0.666440
EXP-LOAD, 2023-07-21T20:13:47.773, ubuntu22-b, mtd-zk-0, 0.666440
EXP-LEAD, 2023-07-21T20:13:49.764, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:13:54.232, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:13:55.312, ubuntu22-b, mtd-zk-0, 0.682311
EXP-LEAD, 2023-07-21T20:13:56.882, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:14:02.766, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:14:03.810, ubuntu22-b, mtd-zk-0, 0.682311
EXP-LOAD, 2023-07-21T20:14:12.214, ubuntu22-b, mtd-zk-0, 0.688586
EXP-LEAD, 2023-07-21T20:14:12.352, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:14:21.201, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:14:22.288, ubuntu22-b, mtd-zk-0, 0.656026
EXP-LOAD, 2023-07-21T20:14:30.400, ubuntu22-b, mtd-zk-0, 0.656026
EXP-LEAD, 2023-07-21T20:14:31.478, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:14:37.145, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:14:38.242, ubuntu22-b, mtd-zk-0, 0.634823
EXP-LOAD, 2023-07-21T20:14:45.430, ubuntu22-b, mtd-zk-0, 0.634823
EXP-LOAD, 2023-07-21T20:14:56.699, ubuntu22-b, mtd-zk-0, 0.666021
EXP-LOAD, 2023-07-21T20:15:06.898, ubuntu22-b, mtd-zk-0, 0.713205
EXP-LEAD, 2023-07-21T20:15:07.945, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:15:17.747, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:15:18.810, ubuntu22-b, mtd-zk-0, 0.713205
EXP-LOAD, 2023-07-21T20:15:27.177, ubuntu22-b, mtd-zk-0, 0.662904
EXP-LEAD, 2023-07-21T20:15:29.228, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:15:34.691, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:15:35.783, ubuntu22-b, mtd-zk-0, 0.663422
EXP-LOAD, 2023-07-21T20:15:45.416, ubuntu22-b, mtd-zk-0, 0.663422
EXP-LEAD, 2023-07-21T20:15:46.537, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:15:52.303, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:15:53.371, ubuntu22-b, mtd-zk-0, 0.701708
EXP-LOAD, 2023-07-21T20:16:02.729, ubuntu22-b, mtd-zk-0, 0.701708
EXP-LOAD, 2023-07-21T20:16:12.868, ubuntu22-b, mtd-zk-0, 0.689407
EXP-LOAD, 2023-07-21T20:16:22.064, ubuntu22-b, mtd-zk-0, 0.658623
EXP-LOAD, 2023-07-21T20:16:31.190, ubuntu22-b, mtd-zk-0, 0.658623
EXP-LOAD, 2023-07-21T20:16:39.333, ubuntu22-b, mtd-zk-0, 0.708013
EXP-LEAD, 2023-07-21T20:16:42.412, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:16:51.179, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:16:52.256, ubuntu22-b, mtd-zk-0, 0.670104
EXP-LEAD, 2023-07-21T20:16:53.325, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:16:58.903, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:16:59.950, ubuntu22-b, mtd-zk-0, 0.670104
EXP-LOAD, 2023-07-21T20:17:09.534, ubuntu22-b, mtd-zk-0, 0.656825
EXP-LEAD, 2023-07-21T20:17:11.582, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:17:19.236, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:17:20.285, ubuntu22-b, mtd-zk-0, 0.698751
EXP-LOAD, 2023-07-21T20:17:27.826, ubuntu22-b, mtd-zk-0, 0.698751
EXP-LOAD, 2023-07-21T20:17:37.945, ubuntu22-b, mtd-zk-0, 0.669814
EXP-LOAD, 2023-07-21T20:17:48.161, ubuntu22-b, mtd-zk-0, 0.669814
EXP-LEAD, 2023-07-21T20:17:50.204, ubuntu22-b, mtd-zk-0, START
EXP-LEAD, 2023-07-21T20:17:55.791, ubuntu22-b, mtd-zk-0, END
EXP-LOAD, 2023-07-21T20:17:56.840, ubuntu22-b, mtd-zk-0, 0.692914
EXP-LOAD, 2023-07-21T20:18:06.421, ubuntu22-b, mtd-zk-0, 0.611458
