EXP-LOAD, 2023-07-21T17:01:15.427, ubuntu22-c, mtd-zk-0, 0.762826
EXP-LOAD, 2023-07-21T17:01:25.551, ubuntu22-c, mtd-zk-0, 0.621829
EXP-LOAD, 2023-07-21T17:01:33.740, ubuntu22-c, mtd-zk-0, 0.621829
EXP-LOAD, 2023-07-21T17:01:44.031, ubuntu22-c, mtd-zk-0, 0.632605
EXP-LEAD, 2023-07-21T17:01:45.865, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:01:51.646, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:01:52.694, ubuntu22-c, mtd-zk-0, 0.622916
EXP-LOAD, 2023-07-21T17:02:02.113, ubuntu22-c, mtd-zk-0, 0.622916
EXP-LEAD, 2023-07-21T17:02:04.147, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:02:13.096, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:02:14.197, ubuntu22-c, mtd-zk-0, 0.715605
EXP-LEAD, 2023-07-21T17:02:14.366, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:02:19.892, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:02:20.943, ubuntu22-c, mtd-zk-0, 0.658526
EXP-LOAD, 2023-07-21T17:02:27.698, ubuntu22-c, mtd-zk-0, 0.658526
EXP-LEAD, 2023-07-21T17:02:28.714, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:02:37.555, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:02:38.625, ubuntu22-c, mtd-zk-0, 0.702824
EXP-LEAD, 2023-07-21T17:02:40.869, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:02:47.245, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:02:48.341, ubuntu22-c, mtd-zk-0, 0.702824
EXP-LEAD, 2023-07-21T17:02:50.202, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:02:57.879, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:02:58.986, ubuntu22-c, mtd-zk-0, 0.689928
EXP-LOAD, 2023-07-21T17:03:05.299, ubuntu22-c, mtd-zk-0, 0.661010
EXP-LOAD, 2023-07-21T17:03:15.434, ubuntu22-c, mtd-zk-0, 0.661010
EXP-LOAD, 2023-07-21T17:03:24.507, ubuntu22-c, mtd-zk-0, 0.691734
EXP-LOAD, 2023-07-21T17:03:33.639, ubuntu22-c, mtd-zk-0, 0.691734
EXP-LOAD, 2023-07-21T17:03:41.854, ubuntu22-c, mtd-zk-0, 0.741006
EXP-LOAD, 2023-07-21T17:03:55.004, ubuntu22-c, mtd-zk-0, 0.658292
EXP-LOAD, 2023-07-21T17:04:01.136, ubuntu22-c, mtd-zk-0, 0.658292
EXP-LEAD, 2023-07-21T17:04:03.225, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:04:09.889, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:04:10.978, ubuntu22-c, mtd-zk-0, 0.632803
EXP-LOAD, 2023-07-21T17:04:20.415, ubuntu22-c, mtd-zk-0, 0.637723
EXP-LEAD, 2023-07-21T17:04:21.498, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:04:30.456, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:04:31.556, ubuntu22-c, mtd-zk-0, 0.637723
EXP-LEAD, 2023-07-21T17:04:31.696, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:04:37.383, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:04:38.444, ubuntu22-c, mtd-zk-0, 0.650834
EXP-LEAD, 2023-07-21T17:04:39.861, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:04:45.769, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:04:46.881, ubuntu22-c, mtd-zk-0, 0.650834
EXP-LOAD, 2023-07-21T17:04:58.210, ubuntu22-c, mtd-zk-0, 0.659462
EXP-LEAD, 2023-07-21T17:04:59.299, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:05:04.970, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:05:06.025, ubuntu22-c, mtd-zk-0, 0.598005
EXP-LOAD, 2023-07-21T17:05:14.497, ubuntu22-c, mtd-zk-0, 0.598005
EXP-LOAD, 2023-07-21T17:05:21.651, ubuntu22-c, mtd-zk-0, 0.670909
EXP-LOAD, 2023-07-21T17:05:33.485, ubuntu22-c, mtd-zk-0, 0.670909
EXP-LEAD, 2023-07-21T17:05:34.528, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:05:39.130, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:05:40.231, ubuntu22-c, mtd-zk-0, 0.672237
EXP-LEAD, 2023-07-21T17:05:41.775, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:05:47.358, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:05:48.445, ubuntu22-c, mtd-zk-0, 0.672237
EXP-LOAD, 2023-07-21T17:05:59.581, ubuntu22-c, mtd-zk-0, 0.674713
EXP-LEAD, 2023-07-21T17:06:00.635, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:06:05.141, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:06:06.213, ubuntu22-c, mtd-zk-0, 0.640842
EXP-LOAD, 2023-07-21T17:06:14.857, ubuntu22-c, mtd-zk-0, 0.640842
EXP-LOAD, 2023-07-21T17:06:25.008, ubuntu22-c, mtd-zk-0, 0.632506
EXP-LOAD, 2023-07-21T17:06:34.114, ubuntu22-c, mtd-zk-0, 0.686459
EXP-LOAD, 2023-07-21T17:06:41.267, ubuntu22-c, mtd-zk-0, 0.686459
EXP-LOAD, 2023-07-21T17:06:54.468, ubuntu22-c, mtd-zk-0, 0.659210
EXP-LOAD, 2023-07-21T17:07:02.615, ubuntu22-c, mtd-zk-0, 0.659210
EXP-LOAD, 2023-07-21T17:07:11.755, ubuntu22-c, mtd-zk-0, 0.628603
EXP-LOAD, 2023-07-21T17:07:20.957, ubuntu22-c, mtd-zk-0, 0.668124
EXP-LOAD, 2023-07-21T17:07:30.125, ubuntu22-c, mtd-zk-0, 0.668124
EXP-LOAD, 2023-07-21T17:07:39.976, ubuntu22-c, mtd-zk-0, 0.705401
EXP-LOAD, 2023-07-21T17:07:51.111, ubuntu22-c, mtd-zk-0, 0.675722
EXP-LOAD, 2023-07-21T17:07:59.263, ubuntu22-c, mtd-zk-0, 0.675722
EXP-LOAD, 2023-07-21T17:08:09.421, ubuntu22-c, mtd-zk-0, 0.626611
EXP-LEAD, 2023-07-21T17:08:10.465, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:08:16.064, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:08:17.125, ubuntu22-c, mtd-zk-0, 0.626611
EXP-LOAD, 2023-07-21T17:08:26.708, ubuntu22-c, mtd-zk-0, 0.616109
EXP-LEAD, 2023-07-21T17:08:28.775, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:08:34.420, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:08:35.474, ubuntu22-c, mtd-zk-0, 0.679207
EXP-LEAD, 2023-07-21T17:08:37.905, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:08:45.709, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:08:46.778, ubuntu22-c, mtd-zk-0, 0.679207
EXP-LOAD, 2023-07-21T17:08:55.263, ubuntu22-c, mtd-zk-0, 0.626805
EXP-LOAD, 2023-07-21T17:09:07.417, ubuntu22-c, mtd-zk-0, 0.639641
EXP-LOAD, 2023-07-21T17:09:15.529, ubuntu22-c, mtd-zk-0, 0.639641
EXP-LEAD, 2023-07-21T17:09:17.582, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:09:24.280, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:09:25.438, ubuntu22-c, mtd-zk-0, 0.623417
EXP-LOAD, 2023-07-21T17:09:33.812, ubuntu22-c, mtd-zk-0, 0.623417
EXP-LOAD, 2023-07-21T17:09:40.956, ubuntu22-c, mtd-zk-0, 0.636427
EXP-LEAD, 2023-07-21T17:09:41.723, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:09:47.314, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:09:48.388, ubuntu22-c, mtd-zk-0, 0.636427
EXP-LOAD, 2023-07-21T17:09:55.940, ubuntu22-c, mtd-zk-0, 0.675729
EXP-LOAD, 2023-07-21T17:10:04.046, ubuntu22-c, mtd-zk-0, 0.675729
EXP-LOAD, 2023-07-21T17:10:19.151, ubuntu22-c, mtd-zk-0, 0.611629
EXP-LEAD, 2023-07-21T17:10:20.267, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:10:26.872, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:10:27.960, ubuntu22-c, mtd-zk-0, 0.611629
EXP-LOAD, 2023-07-21T17:10:39.423, ubuntu22-c, mtd-zk-0, 0.652601
EXP-LOAD, 2023-07-21T17:10:46.605, ubuntu22-c, mtd-zk-0, 0.652601
EXP-LOAD, 2023-07-21T17:10:55.662, ubuntu22-c, mtd-zk-0, 0.615507
EXP-LEAD, 2023-07-21T17:10:57.710, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:11:02.209, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:11:03.261, ubuntu22-c, mtd-zk-0, 0.615507
EXP-LEAD, 2023-07-21T17:11:05.835, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:11:11.443, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:11:12.526, ubuntu22-c, mtd-zk-0, 0.730413
EXP-LOAD, 2023-07-21T17:11:23.670, ubuntu22-c, mtd-zk-0, 0.666376
EXP-LOAD, 2023-07-21T17:11:32.791, ubuntu22-c, mtd-zk-0, 0.666376
EXP-LEAD, 2023-07-21T17:11:33.825, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-21T17:11:41.528, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-21T17:11:42.640, ubuntu22-c, mtd-zk-0, 0.660913
