EXP-LOAD, 2023-07-20T11:46:51.612, ubuntu22-c, mtd-zk-1, 0.594608
EXP-LOAD, 2023-07-20T11:47:01.223, ubuntu22-c, mtd-zk-1, 0.594608
EXP-LOAD, 2023-07-20T11:47:08.489, ubuntu22-c, mtd-zk-1, 0.674607
EXP-LEAD, 2023-07-20T11:47:10.374, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:47:18.202, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:47:19.310, ubuntu22-c, mtd-zk-1, 0.660805
EXP-LOAD, 2023-07-20T11:47:25.452, ubuntu22-c, mtd-zk-1, 0.660805
EXP-LOAD, 2023-07-20T11:47:36.571, ubuntu22-c, mtd-zk-1, 0.568031
EXP-LOAD, 2023-07-20T11:47:44.508, ubuntu22-c, mtd-zk-1, 0.568031
EXP-LEAD, 2023-07-20T11:47:46.577, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:47:54.289, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:47:55.408, ubuntu22-c, mtd-zk-1, 0.664622
EXP-LEAD, 2023-07-20T11:47:55.691, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:48:01.456, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:48:02.496, ubuntu22-c, mtd-zk-1, 0.664622
EXP-LOAD, 2023-07-20T11:48:12.087, ubuntu22-c, mtd-zk-1, 0.662807
EXP-LOAD, 2023-07-20T11:48:20.037, ubuntu22-c, mtd-zk-1, 0.667434
EXP-LOAD, 2023-07-20T11:48:32.279, ubuntu22-c, mtd-zk-1, 0.667434
EXP-LOAD, 2023-07-20T11:48:40.246, ubuntu22-c, mtd-zk-1, 0.651432
EXP-LOAD, 2023-07-20T11:48:48.404, ubuntu22-c, mtd-zk-1, 0.651432
EXP-LEAD, 2023-07-20T11:48:49.919, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:48:55.799, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:48:56.860, ubuntu22-c, mtd-zk-1, 0.661318
EXP-LOAD, 2023-07-20T11:49:06.139, ubuntu22-c, mtd-zk-1, 0.753412
EXP-LOAD, 2023-07-20T11:49:15.271, ubuntu22-c, mtd-zk-1, 0.753412
EXP-LOAD, 2023-07-20T11:49:26.462, ubuntu22-c, mtd-zk-1, 0.679952
EXP-LOAD, 2023-07-20T11:49:34.193, ubuntu22-c, mtd-zk-1, 0.594072
EXP-LOAD, 2023-07-20T11:49:45.359, ubuntu22-c, mtd-zk-1, 0.594072
EXP-LEAD, 2023-07-20T11:49:47.416, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:49:53.032, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:49:54.128, ubuntu22-c, mtd-zk-1, 0.671107
EXP-LEAD, 2023-07-20T11:49:55.187, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:50:01.957, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:50:03.105, ubuntu22-c, mtd-zk-1, 0.671107
EXP-LEAD, 2023-07-20T11:50:04.400, ubuntu22-c, mtd-zk-1, START
EXP-LEAD, 2023-07-20T11:50:13.265, ubuntu22-c, mtd-zk-1, END
EXP-LOAD, 2023-07-20T11:50:14.430, ubuntu22-c, mtd-zk-1, 0.661671
