EXP-LOAD, 2023-07-20T09:40:10.793, ubuntu22-c, mtd-zk-0, 0.689844
EXP-LOAD, 2023-07-20T09:40:22.771, ubuntu22-c, mtd-zk-0, 0.654439
EXP-LEAD, 2023-07-20T09:40:24.788, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:40:30.362, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:40:31.451, ubuntu22-c, mtd-zk-0, 0.654439
EXP-LEAD, 2023-07-20T09:40:32.988, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:40:40.657, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:40:41.748, ubuntu22-c, mtd-zk-0, 0.647411
EXP-LEAD, 2023-07-20T09:40:43.065, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:40:48.789, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:40:49.846, ubuntu22-c, mtd-zk-0, 0.656316
EXP-LOAD, 2023-07-20T09:40:59.278, ubuntu22-c, mtd-zk-0, 0.656316
EXP-LOAD, 2023-07-20T09:41:06.871, ubuntu22-c, mtd-zk-0, 0.609207
EXP-LOAD, 2023-07-20T09:41:18.015, ubuntu22-c, mtd-zk-0, 0.609207
EXP-LOAD, 2023-07-20T09:41:25.200, ubuntu22-c, mtd-zk-0, 0.672810
EXP-LOAD, 2023-07-20T09:41:37.366, ubuntu22-c, mtd-zk-0, 0.665456
EXP-LEAD, 2023-07-20T09:41:39.317, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:41:44.948, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:41:46.173, ubuntu22-c, mtd-zk-0, 0.665456
EXP-LOAD, 2023-07-20T09:41:56.576, ubuntu22-c, mtd-zk-0, 0.704442
EXP-LEAD, 2023-07-20T09:41:56.677, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:42:03.491, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:42:04.545, ubuntu22-c, mtd-zk-0, 0.689603
EXP-LOAD, 2023-07-20T09:42:14.911, ubuntu22-c, mtd-zk-0, 0.689603
EXP-LOAD, 2023-07-20T09:42:22.025, ubuntu22-c, mtd-zk-0, 0.669910
EXP-LEAD, 2023-07-20T09:42:24.076, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:42:31.719, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:42:32.801, ubuntu22-c, mtd-zk-0, 0.669910
EXP-LEAD, 2023-07-20T09:42:34.201, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:42:38.696, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:42:39.766, ubuntu22-c, mtd-zk-0, 0.695024
EXP-LEAD, 2023-07-20T09:42:41.850, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:42:47.568, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:42:48.766, ubuntu22-c, mtd-zk-0, 0.695024
EXP-LEAD, 2023-07-20T09:42:49.026, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:42:53.777, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:42:54.864, ubuntu22-c, mtd-zk-0, 0.697137
EXP-LOAD, 2023-07-20T09:43:05.060, ubuntu22-c, mtd-zk-0, 0.671040
EXP-LOAD, 2023-07-20T09:43:13.108, ubuntu22-c, mtd-zk-0, 0.671040
EXP-LOAD, 2023-07-20T09:43:22.220, ubuntu22-c, mtd-zk-0, 0.666413
EXP-LOAD, 2023-07-20T09:43:32.346, ubuntu22-c, mtd-zk-0, 0.666413
EXP-LOAD, 2023-07-20T09:43:38.481, ubuntu22-c, mtd-zk-0, 0.633033
EXP-LEAD, 2023-07-20T09:43:40.555, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:43:48.257, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:43:49.357, ubuntu22-c, mtd-zk-0, 0.610320
EXP-LOAD, 2023-07-20T09:43:57.750, ubuntu22-c, mtd-zk-0, 0.610320
EXP-LEAD, 2023-07-20T09:43:58.878, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:44:03.515, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:44:04.595, ubuntu22-c, mtd-zk-0, 0.597662
EXP-LOAD, 2023-07-20T09:44:12.033, ubuntu22-c, mtd-zk-0, 0.597662
EXP-LOAD, 2023-07-20T09:44:20.140, ubuntu22-c, mtd-zk-0, 0.719621
EXP-LOAD, 2023-07-20T09:44:29.272, ubuntu22-c, mtd-zk-0, 0.719621
EXP-LOAD, 2023-07-20T09:44:39.382, ubuntu22-c, mtd-zk-0, 0.683707
EXP-LOAD, 2023-07-20T09:44:46.576, ubuntu22-c, mtd-zk-0, 0.683707
EXP-LOAD, 2023-07-20T09:44:57.804, ubuntu22-c, mtd-zk-0, 0.586806
EXP-LEAD, 2023-07-20T09:44:59.871, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:45:05.497, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:45:06.569, ubuntu22-c, mtd-zk-0, 0.647827
EXP-LOAD, 2023-07-20T09:45:14.070, ubuntu22-c, mtd-zk-0, 0.647827
EXP-LOAD, 2023-07-20T09:45:24.213, ubuntu22-c, mtd-zk-0, 0.692606
EXP-LEAD, 2023-07-20T09:45:26.270, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:45:30.813, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:45:31.892, ubuntu22-c, mtd-zk-0, 0.692606
EXP-LOAD, 2023-07-20T09:45:41.408, ubuntu22-c, mtd-zk-0, 0.674753
EXP-LOAD, 2023-07-20T09:45:49.530, ubuntu22-c, mtd-zk-0, 0.634038
EXP-LOAD, 2023-07-20T09:45:58.219, ubuntu22-c, mtd-zk-0, 0.634038
EXP-LOAD, 2023-07-20T09:46:08.374, ubuntu22-c, mtd-zk-0, 0.700022
EXP-LOAD, 2023-07-20T09:46:15.514, ubuntu22-c, mtd-zk-0, 0.700022
EXP-LOAD, 2023-07-20T09:46:26.755, ubuntu22-c, mtd-zk-0, 0.588561
EXP-LOAD, 2023-07-20T09:46:35.834, ubuntu22-c, mtd-zk-0, 0.682109
EXP-LOAD, 2023-07-20T09:46:43.986, ubuntu22-c, mtd-zk-0, 0.682109
EXP-LOAD, 2023-07-20T09:46:51.176, ubuntu22-c, mtd-zk-0, 0.638849
EXP-LOAD, 2023-07-20T09:46:58.222, ubuntu22-c, mtd-zk-0, 0.638849
EXP-LEAD, 2023-07-20T09:46:59.688, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-20T09:47:08.618, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-20T09:47:09.687, ubuntu22-c, mtd-zk-0, 0.686009
