EXP-LOAD, 2023-07-22T02:23:40.183, ubuntu22-c, mtd-zk-0, 0.583475
EXP-LOAD, 2023-07-22T02:23:48.412, ubuntu22-c, mtd-zk-0, 0.583475
EXP-LOAD, 2023-07-22T02:23:59.116, ubuntu22-c, mtd-zk-0, 0.686511
EXP-LEAD, 2023-07-22T02:24:01.057, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:24:06.730, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:24:07.808, ubuntu22-c, mtd-zk-0, 0.693023
EXP-LOAD, 2023-07-22T02:24:17.332, ubuntu22-c, mtd-zk-0, 0.693023
EXP-LOAD, 2023-07-22T02:24:24.463, ubuntu22-c, mtd-zk-0, 0.680233
EXP-LOAD, 2023-07-22T02:24:35.511, ubuntu22-c, mtd-zk-0, 0.681022
EXP-LOAD, 2023-07-22T02:24:43.364, ubuntu22-c, mtd-zk-0, 0.681022
EXP-LOAD, 2023-07-22T02:24:54.441, ubuntu22-c, mtd-zk-0, 0.641912
EXP-LOAD, 2023-07-22T02:25:00.558, ubuntu22-c, mtd-zk-0, 0.641912
EXP-LOAD, 2023-07-22T02:25:10.688, ubuntu22-c, mtd-zk-0, 0.627005
EXP-LOAD, 2023-07-22T02:25:18.801, ubuntu22-c, mtd-zk-0, 0.627005
EXP-LOAD, 2023-07-22T02:25:28.009, ubuntu22-c, mtd-zk-0, 0.615309
EXP-LEAD, 2023-07-22T02:25:29.082, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:25:34.723, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:25:35.773, ubuntu22-c, mtd-zk-0, 0.588607
EXP-LOAD, 2023-07-22T02:25:50.319, ubuntu22-c, mtd-zk-0, 0.621211
EXP-LOAD, 2023-07-22T02:25:59.429, ubuntu22-c, mtd-zk-0, 0.621211
EXP-LOAD, 2023-07-22T02:26:10.575, ubuntu22-c, mtd-zk-0, 0.590433
EXP-LOAD, 2023-07-22T02:26:17.743, ubuntu22-c, mtd-zk-0, 0.590433
EXP-LEAD, 2023-07-22T02:26:19.835, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:26:25.414, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:26:26.511, ubuntu22-c, mtd-zk-0, 0.573351
EXP-LOAD, 2023-07-22T02:26:36.065, ubuntu22-c, mtd-zk-0, 0.751226
EXP-LOAD, 2023-07-22T02:26:44.215, ubuntu22-c, mtd-zk-0, 0.751226
EXP-LEAD, 2023-07-22T02:26:45.265, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:26:50.944, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:26:52.040, ubuntu22-c, mtd-zk-0, 0.649019
EXP-LEAD, 2023-07-22T02:26:52.354, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:27:00.104, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:27:01.169, ubuntu22-c, mtd-zk-0, 0.649019
EXP-LEAD, 2023-07-22T02:27:02.253, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:27:07.893, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:27:08.996, ubuntu22-c, mtd-zk-0, 0.727409
EXP-LOAD, 2023-07-22T02:27:17.589, ubuntu22-c, mtd-zk-0, 0.727409
EXP-LOAD, 2023-07-22T02:27:28.733, ubuntu22-c, mtd-zk-0, 0.671813
EXP-LOAD, 2023-07-22T02:27:35.863, ubuntu22-c, mtd-zk-0, 0.571212
EXP-LOAD, 2023-07-22T02:27:44.641, ubuntu22-c, mtd-zk-0, 0.571212
EXP-LOAD, 2023-07-22T02:27:50.760, ubuntu22-c, mtd-zk-0, 0.671634
EXP-LEAD, 2023-07-22T02:27:53.806, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:27:59.584, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:28:00.659, ubuntu22-c, mtd-zk-0, 0.671634
EXP-LOAD, 2023-07-22T02:28:10.084, ubuntu22-c, mtd-zk-0, 0.793226
EXP-LOAD, 2023-07-22T02:28:18.203, ubuntu22-c, mtd-zk-0, 0.793226
EXP-LOAD, 2023-07-22T02:28:30.398, ubuntu22-c, mtd-zk-0, 0.687318
EXP-LEAD, 2023-07-22T02:28:32.446, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:28:36.985, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:28:38.113, ubuntu22-c, mtd-zk-0, 0.595036
EXP-LOAD, 2023-07-22T02:28:50.642, ubuntu22-c, mtd-zk-0, 0.705822
EXP-LEAD, 2023-07-22T02:28:51.690, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:28:57.349, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:28:58.447, ubuntu22-c, mtd-zk-0, 0.705822
EXP-LOAD, 2023-07-22T02:29:06.930, ubuntu22-c, mtd-zk-0, 0.653407
EXP-LOAD, 2023-07-22T02:29:17.733, ubuntu22-c, mtd-zk-0, 0.653407
EXP-LOAD, 2023-07-22T02:29:24.593, ubuntu22-c, mtd-zk-0, 0.717402
EXP-LOAD, 2023-07-22T02:29:32.694, ubuntu22-c, mtd-zk-0, 0.717402
EXP-LOAD, 2023-07-22T02:29:44.871, ubuntu22-c, mtd-zk-0, 0.659419
EXP-LEAD, 2023-07-22T02:29:46.743, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:29:52.624, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:29:53.689, ubuntu22-c, mtd-zk-0, 0.681828
EXP-LEAD, 2023-07-22T02:29:55.863, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:30:03.617, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:30:04.710, ubuntu22-c, mtd-zk-0, 0.683917
EXP-LEAD, 2023-07-22T02:30:05.996, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:30:11.747, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:30:12.821, ubuntu22-c, mtd-zk-0, 0.683917
EXP-LOAD, 2023-07-22T02:30:21.225, ubuntu22-c, mtd-zk-0, 0.755024
EXP-LOAD, 2023-07-22T02:30:31.316, ubuntu22-c, mtd-zk-0, 0.755024
EXP-LEAD, 2023-07-22T02:30:33.398, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:30:38.012, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:30:39.083, ubuntu22-c, mtd-zk-0, 0.632616
EXP-LOAD, 2023-07-22T02:30:50.733, ubuntu22-c, mtd-zk-0, 0.706207
EXP-LOAD, 2023-07-22T02:30:58.421, ubuntu22-c, mtd-zk-0, 0.706207
EXP-LOAD, 2023-07-22T02:31:10.509, ubuntu22-c, mtd-zk-0, 0.594679
EXP-LEAD, 2023-07-22T02:31:12.553, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:31:18.111, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:31:19.170, ubuntu22-c, mtd-zk-0, 0.619011
EXP-LOAD, 2023-07-22T02:31:28.811, ubuntu22-c, mtd-zk-0, 0.619011
EXP-LEAD, 2023-07-22T02:31:29.925, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:31:35.478, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:31:36.538, ubuntu22-c, mtd-zk-0, 0.628027
EXP-LEAD, 2023-07-22T02:31:38.039, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:31:45.640, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:31:46.732, ubuntu22-c, mtd-zk-0, 0.628027
EXP-LOAD, 2023-07-22T02:31:55.251, ubuntu22-c, mtd-zk-0, 0.709633
EXP-LEAD, 2023-07-22T02:31:57.311, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:32:05.091, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:32:06.156, ubuntu22-c, mtd-zk-0, 0.630307
EXP-LEAD, 2023-07-22T02:32:07.472, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:32:13.139, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:32:14.191, ubuntu22-c, mtd-zk-0, 0.630307
EXP-LOAD, 2023-07-22T02:32:25.707, ubuntu22-c, mtd-zk-0, 0.633007
EXP-LOAD, 2023-07-22T02:32:34.836, ubuntu22-c, mtd-zk-0, 0.627539
EXP-LEAD, 2023-07-22T02:32:35.880, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:32:43.556, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:32:44.625, ubuntu22-c, mtd-zk-0, 0.627539
EXP-LEAD, 2023-07-22T02:32:45.684, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:32:51.435, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:32:52.489, ubuntu22-c, mtd-zk-0, 0.603206
EXP-LOAD, 2023-07-22T02:32:59.871, ubuntu22-c, mtd-zk-0, 0.603206
EXP-LOAD, 2023-07-22T02:33:07.613, ubuntu22-c, mtd-zk-0, 0.664938
EXP-LEAD, 2023-07-22T02:33:08.688, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:33:15.530, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:33:16.612, ubuntu22-c, mtd-zk-0, 0.664938
EXP-LOAD, 2023-07-22T02:33:23.858, ubuntu22-c, mtd-zk-0, 0.703620
EXP-LOAD, 2023-07-22T02:33:33.616, ubuntu22-c, mtd-zk-0, 0.703620
EXP-LOAD, 2023-07-22T02:33:41.722, ubuntu22-c, mtd-zk-0, 0.671050
EXP-LOAD, 2023-07-22T02:33:53.880, ubuntu22-c, mtd-zk-0, 0.653808
EXP-LOAD, 2023-07-22T02:34:01.979, ubuntu22-c, mtd-zk-0, 0.653808
EXP-LEAD, 2023-07-22T02:34:03.097, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:34:08.789, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:34:09.863, ubuntu22-c, mtd-zk-0, 0.619917
EXP-LOAD, 2023-07-22T02:34:20.347, ubuntu22-c, mtd-zk-0, 0.657096
EXP-LOAD, 2023-07-22T02:34:27.485, ubuntu22-c, mtd-zk-0, 0.657096
EXP-LEAD, 2023-07-22T02:34:30.515, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:34:36.103, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:34:37.183, ubuntu22-c, mtd-zk-0, 0.686214
EXP-LOAD, 2023-07-22T02:34:47.744, ubuntu22-c, mtd-zk-0, 0.686214
EXP-LOAD, 2023-07-22T02:34:55.050, ubuntu22-c, mtd-zk-0, 0.650617
EXP-LEAD, 2023-07-22T02:34:57.047, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:35:02.957, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:35:04.028, ubuntu22-c, mtd-zk-0, 0.650617
EXP-LEAD, 2023-07-22T02:35:06.129, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:35:11.942, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:35:12.989, ubuntu22-c, mtd-zk-0, 0.655505
EXP-LOAD, 2023-07-22T02:35:24.340, ubuntu22-c, mtd-zk-0, 0.779044
EXP-LEAD, 2023-07-22T02:35:25.436, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:35:31.251, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:35:32.323, ubuntu22-c, mtd-zk-0, 0.779044
EXP-LOAD, 2023-07-22T02:35:40.451, ubuntu22-c, mtd-zk-0, 0.668633
EXP-LOAD, 2023-07-22T02:35:52.605, ubuntu22-c, mtd-zk-0, 0.671820
EXP-LOAD, 2023-07-22T02:35:59.732, ubuntu22-c, mtd-zk-0, 0.671820
EXP-LOAD, 2023-07-22T02:36:08.461, ubuntu22-c, mtd-zk-0, 0.648520
EXP-LOAD, 2023-07-22T02:36:18.697, ubuntu22-c, mtd-zk-0, 0.648520
EXP-LEAD, 2023-07-22T02:36:21.728, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:36:27.317, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:36:28.363, ubuntu22-c, mtd-zk-0, 0.708408
EXP-LOAD, 2023-07-22T02:36:40.015, ubuntu22-c, mtd-zk-0, 0.655234
EXP-LOAD, 2023-07-22T02:36:49.099, ubuntu22-c, mtd-zk-0, 0.645823
EXP-LEAD, 2023-07-22T02:36:52.119, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:36:59.806, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:37:00.871, ubuntu22-c, mtd-zk-0, 0.645823
EXP-LOAD, 2023-07-22T02:37:06.338, ubuntu22-c, mtd-zk-0, 0.632709
EXP-LOAD, 2023-07-22T02:37:17.450, ubuntu22-c, mtd-zk-0, 0.632709
EXP-LOAD, 2023-07-22T02:37:24.564, ubuntu22-c, mtd-zk-0, 0.656369
EXP-LEAD, 2023-07-22T02:37:26.265, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:37:31.836, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:37:32.927, ubuntu22-c, mtd-zk-0, 0.656369
EXP-LOAD, 2023-07-22T02:37:42.371, ubuntu22-c, mtd-zk-0, 0.677627
EXP-LEAD, 2023-07-22T02:37:44.396, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:37:49.887, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:37:50.963, ubuntu22-c, mtd-zk-0, 0.694407
EXP-LEAD, 2023-07-22T02:37:51.545, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:37:57.186, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:37:58.240, ubuntu22-c, mtd-zk-0, 0.694407
EXP-LEAD, 2023-07-22T02:37:59.663, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:38:05.209, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:38:06.376, ubuntu22-c, mtd-zk-0, 0.693425
EXP-LOAD, 2023-07-22T02:38:13.883, ubuntu22-c, mtd-zk-0, 0.693425
EXP-LOAD, 2023-07-22T02:38:25.637, ubuntu22-c, mtd-zk-0, 0.750603
EXP-LEAD, 2023-07-22T02:38:27.704, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:38:33.296, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:38:34.378, ubuntu22-c, mtd-zk-0, 0.663817
EXP-LOAD, 2023-07-22T02:38:41.929, ubuntu22-c, mtd-zk-0, 0.663817
EXP-LOAD, 2023-07-22T02:38:52.097, ubuntu22-c, mtd-zk-0, 0.708210
EXP-LEAD, 2023-07-22T02:38:53.050, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:38:58.661, ubuntu22-c, mtd-zk-0, END
EXP-LOAD, 2023-07-22T02:38:59.725, ubuntu22-c, mtd-zk-0, 0.708210
EXP-LEAD, 2023-07-22T02:39:01.170, ubuntu22-c, mtd-zk-0, START
EXP-LEAD, 2023-07-22T02:39:06.799, ubuntu22-c, mtd-zk-0, END
